院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
2345,宁波诺丁汉大学,27,28,573,104,118,9
2350,大连民族大学,5,5,540,110,107,15
2350,大连民族大学（少数民族）,12,12,513,93,120,17
2355,四川农业大学,162,169,561,100,110,9
2360,温州肯恩大学,13,13,539,102,110,6
2365,太原理工大学,97,102,583,99,121,5
2375,东北石油大学,129,129,528,106,97,12
2380,北京信息科技大学,38,38,578,109,121,9
2385,安徽财经大学,70,70,515,108,97,14
2385,安徽财经大学（较高收费）,4,4,534,104,115,0
2390,上海师范大学,130,130,573,114,127,23
2390,上海师范大学（较高收费）,38,38,552,107,100,11
2395,集美大学,142,142,564,110,124,9
2400,北京物资学院,23,23,550,103,113,12
2405,天津师范大学,136,136,564,111,113,6
2405,天津师范大学（较高收费）,30,30,538,107,112,9
2410,青岛理工大学,72,72,567,113,100,9
2415,浙江工业大学,65,67,585,106,127,0
2420,杭州电子科技大学,110,110,589,112,116,9
2425,湖南科技大学,63,82,558,95,120,0
2430,南昌航空大学,33,35,564,105,117,27
2435,江西理工大学,128,131,546,103,122,11
2440,长江大学,216,225,546,105,104,12
2440,长江大学（较高收费）,5,7,504,89,113,11
2450,成都理工大学,76,76,573,110,117,17
2500,首都经济贸易大学,24,24,600,120,110,30
2505,南京林业大学,89,91,568,114,121,11
2505,南京林业大学（较高收费）,8,8,544,105,103,15
2510,西南科技大学,87,97,551,116,116,6
2515,西南石油大学,165,165,556,108,112,11
2520,西安工程大学,107,118,554,120,100,0
2525,天津工业大学,341,341,571,106,119,30
2530,中北大学,122,125,556,95,128,14
2535,西安科技大学,39,39,570,97,109,6
2535,西安科技大学（较高收费）,6,10,546,110,110,9
2540,河北科技大学,72,72,554,103,115,11
2545,河北工程大学,32,32,541,100,123,8
2550,北京联合大学,8,8,568,106,110,21
2555,大连交通大学,65,68,559,114,102,8
2560,温州医科大学,80,80,564,102,119,11
2565,南通大学,79,83,557,110,109,18
2570,上海中医药大学,28,28,580,101,120,3
2570,上海中医药大学（较高收费）,2,2,561,105,113,8
2575,浙江师范大学,22,23,565,115,108,12
2580,安徽理工大学,107,107,533,107,99,11
2580,安徽理工大学（较高收费）,2,2,509,105,108,12
2600,天津中医药大学,57,57,564,100,122,14
2600,天津中医药大学（较高收费）,4,4,551,107,128,11
2605,中国医科大学,33,33,594,104,126,11
2605,中国医科大学（较高收费）,4,4,548,114,98,11
2610,黑龙江中医药大学,39,39,545,106,129,11
2615,湖南中医药大学,56,59,553,106,112,8
2620,成都中医药大学,20,20,559,106,111,11
2625,新疆医科大学,29,29,514,102,112,9
2630,山西医科大学,6,6,599,113,122,30
2635,大连医科大学,39,39,580,122,109,9
2650,广西医科大学,20,20,589,101,117,27
2655,湖北中医药大学,55,55,551,106,110,11
2750,海南大学,342,353,573,103,110,26
2750,海南大学（较高收费）,16,18,533,109,105,8
2750,海南大学（其他单列）,12,12,564,103,113,9
2755,宁夏大学,40,40,567,104,107,0
2780,山东科技大学,58,58,562,115,123,12
2780,山东科技大学（较高收费）,8,8,536,114,106,30
2785,河北大学,73,73,562,112,121,27
2790,辽宁石油化工大学,130,130,525,113,107,9
2795,沈阳工业大学,61,61,549,110,85,9
2800,中南林业科技大学,84,86,553,101,118,8
2805,西安理工大学,99,103,569,114,121,9
2810,安徽工业大学,59,59,554,104,106,14
2815,安徽医科大学,6,6,599,114,109,0
2850,广州大学,24,26,576,104,127,12
2855,广州医科大学,21,21,574,107,118,0
2860,上海海事大学,78,79,571,109,127,6
2860,上海海事大学（较高收费）,22,22,549,96,112,11
2865,重庆交通大学,111,114,566,111,119,8
2870,天津理工大学,210,210,571,102,100,8
2875,上海海洋大学,105,105,562,105,114,12
2875,上海海洋大学（较高收费）,15,15,546,108,103,11
2880,常州大学,135,135,552,117,109,23
2880,常州大学（较高收费）,2,2,505,105,112,11
2885,华东交通大学,91,97,556,117,97,8
2890,重庆工商大学,82,84,546,108,93,0
2895,武汉工程大学,136,143,562,108,119,11
2895,武汉工程大学（较高收费）,6,6,533,113,124,9
2900,太原科技大学,82,82,531,113,110,0
2905,三峡大学,135,162,551,109,120,11
2905,三峡大学（较高收费）,3,3,544,108,115,11
2910,四川外国语大学,6,7,576,113,115,18
2915,西安石油大学,80,80,549,104,116,0
2920,山西财经大学,30,30,546,100,100,6
2925,上海立信会计金融学院,38,38,577,98,120,8
2930,广东工业大学,60,67,573,107,125,11
2935,辽宁科技大学,31,33,539,102,110,9
3020,西南民族大学,20,20,554,120,109,9
3040,上海电力学院,128,131,560,93,112,11
3040,上海电力学院（较高收费）,10,10,566,113,117,9
3060,中国民用航空飞行学院,86,93,539,107,110,23
3175,北京印刷学院,28,29,550,117,109,9
3200,天津科技大学,268,268,559,118,107,0
3240,天津商业大学,40,40,548,103,110,12
3275,河北医科大学,11,11,598,115,120,9
3280,河北师范大学,39,39,525,96,117,17
3280,河北师范大学（较高收费）,6,6,506,110,101,0
3310,华北理工大学,111,115,546,108,112,0
3400,山西中医药大学,2,2,541,104,101,14
3530,大连工业大学,98,103,522,97,91,0
3545,沈阳理工大学,63,63,547,111,97,11
3550,沈阳航空航天大学,145,145,543,108,118,9
3575,辽宁中医药大学,8,8,537,111,104,12
3595,大连外国语大学,37,37,567,102,119,0
3665,长春中医药大学,33,34,527,110,121,2
3690,吉林财经大学,51,51,543,117,94,19
3690,吉林财经大学（较高收费）,4,4,535,97,118,14
3695,黑龙江大学,49,49,547,101,118,0
3705,哈尔滨理工大学,354,365,546,108,109,5
3725,哈尔滨商业大学,137,137,522,115,109,23
3780,上海工程技术大学,56,58,566,112,107,9
3815,上海应用技术大学,236,239,547,105,103,11
3890,苏州科技大学,56,56,559,101,122,9
3890,苏州科技大学（较高收费）,4,4,532,97,115,11
3900,徐州医科大学,30,32,567,109,108,9
4010,浙江科技学院（较高收费）,5,5,530,97,105,9
4020,浙江海洋大学,9,9,554,108,103,8
4030,浙江中医药大学,70,71,555,98,122,24
4040,湖州师范学院,11,11,513,117,116,15
4055,杭州师范大学,62,62,568,108,112,0
4060,浙江工商大学,28,28,574,110,117,11
4065,浙江财经大学,13,13,563,111,132,0
4100,安徽师范大学,16,17,528,107,92,20
4100,安徽师范大学（较高收费）,2,2,509,109,96,0
4195,福建农林大学,27,27,546,102,119,11
4200,福建医科大学,75,75,521,100,113,0
4205,福建师范大学,88,88,560,106,121,8
4260,江西师范大学,22,22,530,101,100,12
4275,东华理工大学,75,90,543,111,114,0
4295,赣南医学院,23,23,539,110,109,11
4345,南昌工程学院,52,52,532,109,100,11
4350,济南大学,82,82,563,109,100,18
4370,山东理工大学,60,60,551,115,114,12
4395,山东师范大学,35,35,560,107,105,12
