院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
1100,中央民族大学,23,23,579,118,113,27
1103,中南民族大学,54,54,538,111,102,11
1103,中南民族大学(仅招少数民族),38,40,524,102,086,11
1105,北京大学,30,30,629,128,134,09
1110,中国人民大学,41,43,617,118,136,08
1113,中国人民大学(苏州校区),5,5,590,120,118,00
1115,清华大学,5,7,638,125,148,24
1120,北京交通大学,9,10,585,110,115,17
1125,东南大学,22,23,591,122,119,00
1130,复旦大学,8,8,625,127,130,11
1135,湖南大学,29,30,586,126,112,27
1140,华中科技大学,45,47,588,116,141,09
1145,吉林大学,66,69,581,112,128,14
1150,江南大学,23,24,569,122,108,00
1150,江南大学(较高收费),2,2,557,110,120,08
1155,兰州大学,37,38,576,122,104,11
1160,南京大学,16,16,613,122,132,17
1165,南开大学,50,53,605,118,130,00
1170,山东大学,46,47,589,115,122,09
1173,山东大学威海分校,33,34,576,116,118,11
1173,山东大学威海分校(较高收费),2,2,571,107,126,26
1175,四川大学,28,28,591,114,118,26
1180,武汉大学,71,72,603,121,129,21
1180,武汉大学(护理),2,2,580,117,112,00
1185,西安交通大学,10,10,587,125,132,14
1189,西交利物浦大学,45,45,520,112,082,29
1190,厦门大学,21,21,603,113,124,30
1190,厦门大学(较高收费),9,9,573,116,115,14
1190,厦门大学(单列专业),5,5,546,109,116,09
1195,浙江大学,18,18,614,128,129,29
1200,华北电力大学(保定),6,7,554,118,113,20
1205,中南财经政法大学,97,105,583,115,122,14
1210,中南大学,26,26,583,119,134,11
1215,中山大学,32,32,601,123,124,09
1220,华北电力大学(北京),12,12,572,108,117,11
1225,北京化工大学,15,18,564,113,112,17
1230,北京科技大学,23,23,576,124,109,30
1235,北京邮电大学,12,13,576,119,118,09
1240,长安大学,13,13,561,125,110,17
1250,电子科技大学,14,14,573,128,112,26
1255,东北大学,24,27,572,114,114,09
1265,合肥工业大学,22,22,549,119,096,17
1268,合肥工业大学(宣城校区),7,7,534,124,098,00
1270,河海大学,25,26,569,113,120,09
1275,华东理工大学,42,44,570,119,127,00
1280,华南理工大学,20,21,582,116,115,00
1285,大连海事大学,8,8,564,110,115,11
1290,上海交通大学,1,1,624,130,132,00
1295,中国石油大学(北京),6,6,571,114,112,27
1300,中国石油大学(华东),32,34,555,127,081,14
1310,同济大学,14,14,598,123,127,09
1315,武汉理工大学,33,33,570,118,113,11
1315,武汉理工大学(较高收费),2,2,569,107,125,24
1320,西安电子科技大学,31,33,553,124,089,14
1325,西南交通大学,16,16,565,121,108,20
1330,中国海洋大学,29,29,578,123,111,09
1330,中国海洋大学(较高收费),4,4,555,109,101,26
1335,中国地质大学(北京),5,5,566,120,094,12
1340,中国地质大学(武汉),15,17,568,119,105,26
1345,中国矿业大学(北京),10,11,562,115,129,20
1350,中国矿业大学,32,32,554,116,115,08
1355,重庆大学,19,19,583,123,103,08
1360,华中农业大学,54,59,554,115,103,08
1360,华中农业大学(较高收费),6,6,521,101,097,17
1365,南京农业大学,33,33,556,111,100,11
1370,西北农林科技大学,33,35,556,109,106,00
1375,中国农业大学,9,10,586,114,119,11
1375,中国农业大学(较高收费),6,6,561,113,109,12
1380,北京林业大学,14,14,575,114,112,30
1385,东北林业大学,45,45,543,110,105,29
1390,北京中医药大学,7,7,580,123,107,12
1395,中国药科大学,2,3,562,119,093,14
1405,东北师范大学,30,30,563,111,116,11
1405,东北师范大学(较高收费),12,9,518,109,109,15
1410,华东师范大学,38,40,593,133,117,11
1415,华中师范大学,50,53,578,112,120,15
1415,华中师范大学(较高收费),13,14,539,120,101,29
1420,陕西师范大学,33,36,568,113,121,14
1425,西南大学,25,25,575,115,112,09
1425,西南大学(较高收费),6,6,547,116,099,26
1427,西南大学(荣昌校区),3,3,543,118,109,18
1430,北京外国语大学,19,19,596,114,129,12
1435,北京语言大学,19,19,574,121,118,15
1440,上海外国语大学,7,7,595,122,130,00
1445,上海财经大学,9,9,613,118,125,27
1450,对外经济贸易大学,29,29,594,117,113,11
1455,西南财经大学,32,32,582,122,117,29
1460,中央财经大学,28,33,597,121,133,27
1465,中国政法大学,45,45,594,124,123,29
1470,中国传媒大学,19,20,590,125,116,12
1485,北京航空航天大学,5,6,596,110,126,29
1490,北京理工大学,11,11,591,120,128,24
