代码,名称,分数,排名
191,中国社会科学院大学,639,746
195,上海海关学院,589,7332
1100,中央民族大学,630,1341
1100,中央民族大学(少数民族),622,2011
1100,中央民族大学(其他单列),611,3297
1103,中南民族大学,584,8565
1103,中南民族大学(少数民族),568,13302
1105,北京大学,666,46
1110,中国人民大学,658,144
1113,中国人民大学(苏州校区),639,746
1115,清华大学,670,23
1120,北京交通大学,631,1266
1121,北京交通大学(威海校区),599,5282
1125,东南大学,636,927
1130,复旦大学,663,76
1135,湖南大学,630,1341
1140,华中科技大学,635,979
1145,吉林大学,627,1582
1150,江南大学,618,2441
1150,江南大学(较高收费),611,3297
1155,兰州大学,620,2197
1160,南京大学,655,190
1165,南开大学,645,506
1170,山东大学,629,1415
1173,山东大学威海分校,622,2011
1173,山东大学威海分校(较高收费),626,1662
1175,四川大学,636,927
1180,武汉大学,643,571
1185,西安交通大学,634,1044
1189,西交利物浦大学,576,10788
1190,厦门大学,641,653
1190,厦门大学(较高收费),628,1496
1190,厦门大学(异地校区),611,3297
1195,浙江大学,655,190
1200,华北电力大学(保定),601,4905
1205,中南财经政法大学,627,1582
1210,中南大学,631,1266
1215,中山大学,643,571
1220,华北电力大学(北京),616,2693
1225,北京化工大学,614,2927
1230,北京科技大学,622,2011
1235,北京邮电大学,625,1761
1240,长安大学,609,3596
1250,电子科技大学,622,2011
1255,东北大学,619,2343
1265,合肥工业大学,599,5282
1268,合肥工业大学(宣城校区),594,6301
1270,河海大学,618,2441
1275,华东理工大学,619,2343
1280,华南理工大学,629,1415
1285,大连海事大学,613,3045
1290,上海交通大学,664,66
1295,中国石油大学(北京),614,2927
1296,中国石油大学(北京)克拉玛依校区,568,13302
1300,中国石油大学(华东),603,4574
1305,天津大学,636,927
1310,同济大学,642,618
1315,武汉理工大学,615,2801
1315,武汉理工大学(较高收费),612,3169
1320,西安电子科技大学,605,4254
1325,西南交通大学,615,2801
1330,中国海洋大学,622,2011
1330,中国海洋大学(较高收费),603,4574
1335,中国地质大学(北京),614,2927
1340,中国地质大学(武汉),615,2801
1345,中国矿业大学(北京),610,3437
1350,中国矿业大学,602,4718
1355,重庆大学,631,1266
1360,华中农业大学,608,3752
1360,华中农业大学(较高收费),588,7575
1365,南京农业大学,612,3169
1370,西北农林科技大学,607,3912
1375,中国农业大学,630,1341
1375,中国农业大学(较高收费),616,2693
1380,北京林业大学,618,2441
1385,东北林业大学,593,6485
1390,北京中医药大学,615,2801
1395,中国药科大学,614,2927
1405,东北师范大学,610,3437
1405,东北师范大学(较高收费),576,10788
1410,华东师范大学,637,849
1415,华中师范大学,621,2097
1415,华中师范大学(其他单列),601,4905
1420,陕西师范大学,617,2562
1425,西南大学,621,2097
1425,西南大学(较高收费),607,3912
1427,西南大学(荣昌校区),599,5282
1430,北京外国语大学,637,849
1430,北京外国语大学(较高收费),625,1761
1435,北京语言大学,617,2562
1440,上海外国语大学,632,1174
