代码,名称,分数,排名
191,中国社会科学院大学,611,768
195,上海海关学院,550,8153
1100,中央民族大学,599,1428
1100,中央民族大学(其他单列),589,2268
1103,中南民族大学,534,12434
1105,北京大学,647,44
1110,中国人民大学,633,146
1113,中国人民大学(苏州校区),608,911
1115,清华大学,662,10
1120,北京交通大学,600,1363
1125,东南大学,607,970
1130,复旦大学,640,76
1135,湖南大学,604,1134
1140,华中科技大学,606,1029
1145,吉林大学,597,1569
1150,江南大学,587,2458
1150,江南大学(较高收费),578,3421
1155,兰州大学,590,2174
1160,南京大学,631,177
1165,南开大学,620,442
1170,山东大学,516,18951
1173,山东大学威海分校,592,1991
1173,山东大学威海分校(较高收费),592,1991
1175,四川大学,607,970
1180,武汉大学,617,527
1185,西安交通大学,606,1029
1189,西交利物浦大学,532,13099
1190,厦门大学,609,869
1190,厦门大学(较高收费),594,1819
1190,厦门大学(异地校区),569,4566
1195,浙江大学,630,191
1200,华北电力大学(保定),568,4738
1205,中南财经政法大学,597,1569
1210,中南大学,602,1236
1215,中山大学,616,562
1220,华北电力大学(北京),584,2746
1225,北京化工大学,581,3082
1230,北京科技大学,592,1991
1235,北京邮电大学,594,1819
1240,长安大学,579,3320
1250,电子科技大学,591,2070
1255,东北大学,589,2268
1265,合肥工业大学,562,5715
1268,合肥工业大学(宣城校区),555,7077
1270,河海大学,587,2458
1275,华东理工大学,588,2361
1280,华南理工大学,599,1428
1285,大连海事大学,580,3205
1290,上海交通大学,643,60
1295,中国石油大学(北京),584,2746
1296,中国石油大学(北京)克拉玛依校区,526,15055
1300,中国石油大学(华东),570,4432
1310,同济大学,612,721
1315,武汉理工大学,585,2658
1315,武汉理工大学(较高收费),575,3767
1320,西安电子科技大学,569,4566
1325,西南交通大学,583,2857
1330,中国海洋大学,592,1991
1330,中国海洋大学(较高收费),565,5214
1335,中国地质大学(北京),585,2658
1340,中国地质大学(武汉),586,2559
1345,中国矿业大学(北京),580,3205
1350,中国矿业大学,567,4900
1355,重庆大学,602,1236
1360,华中农业大学,573,4021
1360,华中农业大学(较高收费),546,9122
1365,南京农业大学,576,3634
1370,西北农林科技大学,573,4021
1375,中国农业大学,600,1363
1375,中国农业大学(较高收费),582,2970
1380,北京林业大学,589,2268
1385,东北林业大学,556,6877
1390,北京中医药大学,596,1663
1395,中国药科大学,581,3082
1405,东北师范大学,582,2970
1405,东北师范大学(较高收费),522,16519
1410,华东师范大学,609,869
1415,华中师范大学,594,1819
1415,华中师范大学(较高收费),558,6463
1420,陕西师范大学,586,2559
1425,西南大学,590,2174
1425,西南大学(较高收费),569,4566
1427,西南大学(荣昌校区),559,6248
1430,北京外国语大学,610,807
1435,北京语言大学,585,2658
1440,上海外国语大学,610,807
1445,上海财经大学,623,359
1450,对外经济贸易大学,612,721
1455,西南财经大学,599,1428
1455,西南财经大学(较高收费),592,1991
1460,中央财经大学,612,721
1465,中国政法大学,612,721
1470,中国传媒大学,605,1078
1485,北京航空航天大学,610,807
1490,北京理工大学,606,1029
1495,哈尔滨工业大学,597,1569
1500,哈尔滨工程大学,563,5558
1505,南京航空航天大学,586,2559
1515,西北工业大学,591,2070
1520,暨南大学,596,1663
1550,北京工商大学,572,4140
1565,北京第二外国语学院,579,3320
1605,天津医科大学,566,5054
1630,河北工业大学,566,5054
1635,燕山大学,559,6248
1640,石家庄铁道大学,533,12740
1660,山西大学,547,8873
1680,内蒙古大学,551,7926
1690,辽宁大学,568,4738
1695,辽宁工程技术大学,521,16933
1710,沈阳农业大学,526,15055
1725,东北财经大学,585,2658
1725,东北财经大学(较高收费),543,9885
1740,延边大学,554,7281
1745,长春理工大学,533,12740
1760,东北农业大学,551,7926
1765,哈尔滨医科大学,528,14369
1790,上海大学,598,1495
1790,上海大学(较高收费),587,2458
1795,上海理工大学,565,5214
1795,上海理工大学(较高收费),554,7281
1805,上海对外经贸大学,583,2857
1810,华东政法大学,589,2268
1830,苏州大学,593,1899
1835,扬州大学,562,5715
1840,江苏大学,562,5715
1845,南京工业大学,556,6877
1855,南京师范大学,591,2070
1860,南京信息工程大学,556,6877
1880,宁波大学,565,5214
1885,安徽大学,571,4282
1895,福州大学,582,2970
1910,南昌大学,570,4432
1915,江西财经大学,562,5715
1930,湘潭大学,559,6248
1935,湖南师范大学,579,3320
1960,广东外语外贸大学,586,2559
1965,深圳大学,584,2746
1970,华南农业大学,557,6661
1975,广州中医药大学,571,4282
1985,华南师范大学,584,2746
2000,广西大学,558,6463
2000,广西大学(较高收费),538,11236
2030,西南政法大学,587,2458
2030,西南政法大学(较高收费),581,3082
2035,重庆邮电大学,554,7281
2080,云南大学,570,4432
2090,西北大学,588,2361
2095,陕西科技大学,545,9374
2100,西安建筑科技大学,550,8153
2105,西安邮电大学,554,7281
2110,西安外国语大学,567,4900
2115,西北政法大学,569,4566
2120,新疆大学,531,13403
2125,青海大学,537,11522
2130,石河子大学,534,12434
2205,青岛大学,564,5378
2210,湖北大学,559,6248
2210,湖北大学(较高收费),521,16933
2215,中国民航大学,552,7706
2220,武汉科技大学,543,9885
2225,首都师范大学,579,3320
2230,天津财经大学,570,4432
2240,南京审计大学,578,3421
2250,天津外国语大学,565,5214
2255,浙江理工大学,556,6877
2265,南京财经大学,577,3529
2270,江苏科技大学,547,8873
2280,北京建筑大学,554,7281
2285,沈阳建筑大学,522,16519
2290,中国计量大学,552,7706
2295,南华大学,542,10156
2300,长沙理工大学,548,8606
2305,贵州大学,561,5889
2310,南方医科大学,566,5054
2315,南京邮电大学,565,5214
2320,北方工业大学,556,6877
2325,华侨大学,558,6463
2330,西安工业大学,543,9885
2340,汕头大学,568,4738
2345,宁波诺丁汉大学,561,5889
2350,大连民族大学,533,12740
2350,大连民族大学(少数民族),521,16933
2360,温州肯恩大学,527,14688
2365,太原理工大学,564,5378
2375,东北石油大学,528,14369
2380,北京信息科技大学,555,7077
2385,安徽财经大学,557,6661
2385,安徽财经大学(较高收费),532,13099
2390,上海师范大学,564,5378
2390,上海师范大学(较高收费),549,8382
2395,集美大学,559,6248
2400,北京物资学院,549,8382
2405,天津师范大学,560,6069
2410,青岛理工大学,541,10436
