代码,名称,分数,排名
1100,中央民族大学,565,1621
1103,中南民族大学,526,8341
1103,中南民族大学(少数民族),513,12687
1105,北京大学,616,48
1110,中国人民大学,603,146
1113,中国人民大学(苏州校区),576,866
1115,清华大学,628,11
1120,北京交通大学,567,1454
1125,东南大学,573,1039
1130,复旦大学,612,70
1135,湖南大学,570,1204
1140,华中科技大学,571,1158
1145,吉林大学,567,1454
1150,江南大学,554,2749
1155,兰州大学,559,2163
1160,南京大学,598,208
1165,南开大学,590,361
1170,山东大学,572,1107
1173,山东大学威海分校,560,2061
1173,山东大学威海分校(较高收费),556,2514
1175,四川大学,575,924
1180,武汉大学,586,479
1180,武汉大学(护理),550,3281
1185,西安交通大学,568,1360
1189,西交利物浦大学,515,11970
1190,厦门大学,587,445
1190,厦门大学(较高收费),557,2392
1195,浙江大学,600,178
1200,华北电力大学(保定),543,4453
1205,中南财经政法大学,568,1360
1210,中南大学,567,1454
1215,中山大学,584,540
1220,华北电力大学(北京),557,2392
1225,北京化工大学,549,3439
1230,北京科技大学,562,1869
1235,北京邮电大学,566,1534
1240,长安大学,546,3907
1250,电子科技大学,555,2636
1255,东北大学,557,2392
1265,合肥工业大学,533,6546
1270,河海大学,553,2890
1275,华东理工大学,556,2514
1280,华南理工大学,564,1699
1285,大连海事大学,546,3907
1290,上海交通大学,609,92
1295,中国石油大学(北京),556,2514
1300,中国石油大学(华东),540,5003
1305,天津大学,580,688
1310,同济大学,582,610
1315,武汉理工大学,553,2890
1315,武汉理工大学(较高收费),553,2890
1320,西安电子科技大学,536,5867
1325,西南交通大学,546,3907
1330,中国海洋大学,565,1621
1330,中国海洋大学(较高收费),519,10556
1335,中国地质大学(北京),553,2890
1340,中国地质大学(武汉),548,3573
1345,中国矿业大学(北京),546,3907
1350,中国矿业大学,539,5209
1355,重庆大学,567,1454
1360,华中农业大学,539,5209
1365,南京农业大学,540,5003
1370,西北农林科技大学,543,4453
1375,中国农业大学,569,1289
1375,中国农业大学(较高收费),543,4453
1380,北京林业大学,559,2163
1385,东北林业大学,531,7029
1390,北京中医药大学,566,1534
1395,中国药科大学,547,3730
